time,open,high,low,close,Volume
2023-12-26T15:30:00+01:00,4759.23,4765.11,4758.45,4765.11,NaN
2023-12-26T15:35:00+01:00,4765.12,4766.19,4764.26,4765.34,NaN
2023-12-26T15:40:00+01:00,4765.07,4767.2,4765.07,4766.06,NaN
2023-12-26T15:45:00+01:00,4766.15,4767.69,4765.83,4766.06,NaN
2023-12-26T15:50:00+01:00,4766.09,4766.25,4763.76,4764.24,NaN
2023-12-26T15:55:00+01:00,4764.23,4766.68,4763.41,4766.54,NaN
2023-12-26T16:00:00+01:00,4766.54,4767.18,4766.04,4766.77,NaN
2023-12-26T16:05:00+01:00,4766.76,4768.41,4766.35,4767.68,NaN
2023-12-26T16:10:00+01:00,4767.69,4769.48,4767.63,4768.76,NaN
2023-12-26T16:15:00+01:00,4768.75,4769.63,4768.24,4768.29,NaN
2023-12-26T16:20:00+01:00,4768.21,4769.09,4767.65,4768.2,NaN
2023-12-26T16:25:00+01:00,4768.35,4770.56,4767.71,4768.1,NaN
2023-12-26T16:30:00+01:00,4768.19,4770.48,4768.19,4770.13,NaN
2023-12-26T16:35:00+01:00,4770.16,4770.99,4769.65,4770.81,NaN
2023-12-26T16:40:00+01:00,4770.85,4771.3,4768.89,4768.89,NaN
2023-12-26T16:45:00+01:00,4768.93,4769.23,4768.39,4768.51,NaN
2023-12-26T16:50:00+01:00,4768.45,4768.5,4765.15,4766.58,NaN
2023-12-26T16:55:00+01:00,4766.68,4768.27,4766.65,4768.2,NaN
2023-12-26T17:00:00+01:00,4768.25,4768.77,4765.78,4766.8,NaN
2023-12-26T17:05:00+01:00,4766.84,4768.36,4766.83,4768.17,NaN
2023-12-26T17:10:00+01:00,4768.21,4770.52,4767.45,4770.25,NaN
2023-12-26T17:15:00+01:00,4770.28,4770.45,4766.86,4767.06,NaN
2023-12-26T17:20:00+01:00,4767.01,4767.69,4766.02,4766.02,NaN
2023-12-26T17:25:00+01:00,4765.98,4766.89,4765.48,4766.8,NaN
2023-12-26T17:30:00+01:00,4766.79,4768.6,4766.79,4768.44,NaN
2023-12-26T17:35:00+01:00,4768.43,4769.1,4768,4768.69,NaN
2023-12-26T17:40:00+01:00,4768.73,4769.51,4768.26,4768.65,NaN
2023-12-26T17:45:00+01:00,4768.74,4770.53,4768.7,4769.65,NaN
2023-12-26T17:50:00+01:00,4769.53,4770.15,4769.22,4770.09,NaN
2023-12-26T17:55:00+01:00,4770.13,4770.38,4768.59,4770.1,NaN
2023-12-26T18:00:00+01:00,4770.09,4770.09,4768.51,4768.88,NaN
2023-12-26T18:05:00+01:00,4768.9,4769.06,4768.35,4768.94,NaN
2023-12-26T18:10:00+01:00,4768.99,4770.9,4768.9,4770.69,NaN
2023-12-26T18:15:00+01:00,4770.77,4771.55,4770.46,4771.04,NaN
2023-12-26T18:20:00+01:00,4771.05,4771.45,4770.31,4770.7,NaN
2023-12-26T18:25:00+01:00,4770.61,4771.4,4770.39,4770.39,NaN
2023-12-26T18:30:00+01:00,4770.43,4770.92,4769.92,4769.98,NaN
2023-12-26T18:35:00+01:00,4769.95,4770.04,4768.43,4768.7,NaN
2023-12-26T18:40:00+01:00,4768.73,4769.94,4768.58,4769.9,NaN
2023-12-26T18:45:00+01:00,4769.96,4773.08,4769.88,4772.74,NaN
2023-12-26T18:50:00+01:00,4772.76,4772.85,4771.34,4772.68,NaN
2023-12-26T18:55:00+01:00,4772.69,4772.75,4769.81,4770.03,NaN
2023-12-26T19:00:00+01:00,4770.03,4771.59,4769.81,4771.29,NaN
2023-12-26T19:05:00+01:00,4771.32,4771.44,4770.76,4771.2,NaN
2023-12-26T19:10:00+01:00,4771.21,4773.12,4771.2,4772.32,NaN
2023-12-26T19:15:00+01:00,4772.36,4772.36,4771.31,4771.56,NaN
2023-12-26T19:20:00+01:00,4771.52,4773.75,4771.52,4773.59,NaN
2023-12-26T19:25:00+01:00,4773.61,4773.79,4772.3,4772.47,NaN
2023-12-26T19:30:00+01:00,4772.5,4773.32,4772.22,4772.22,NaN
2023-12-26T19:35:00+01:00,4772.24,4772.31,4771.55,4771.65,NaN
2023-12-26T19:40:00+01:00,4771.66,4772.43,4771.43,4772.34,NaN
2023-12-26T19:45:00+01:00,4772.34,4773.32,4772.32,4773.16,NaN
2023-12-26T19:50:00+01:00,4773.15,4773.22,4771.25,4771.86,NaN
2023-12-26T19:55:00+01:00,4771.84,4772.56,4771.15,4771.51,NaN
2023-12-26T20:00:00+01:00,4771.56,4773.24,4771.42,4772.74,NaN
2023-12-26T20:05:00+01:00,4772.82,4773.45,4772.69,4773.44,NaN
2023-12-26T20:10:00+01:00,4773.47,4774.46,4773.36,4773.39,NaN
2023-12-26T20:15:00+01:00,4773.35,4774.41,4773.08,4774.2,NaN
2023-12-26T20:20:00+01:00,4774.24,4774.41,4773.86,4774.39,NaN
2023-12-26T20:25:00+01:00,4774.37,4775.07,4773.84,4774.56,NaN
2023-12-26T20:30:00+01:00,4774.57,4776.3,4774.57,4775.47,NaN
2023-12-26T20:35:00+01:00,4775.39,4776.19,4775.32,4776.12,NaN
2023-12-26T20:40:00+01:00,4776.16,4776.32,4774.23,4774.27,NaN
2023-12-26T20:45:00+01:00,4774.29,4775.79,4774.29,4775.42,NaN
2023-12-26T20:50:00+01:00,4775.45,4776.48,4775.44,4776.37,NaN
2023-12-26T20:55:00+01:00,4776.38,4777.15,4776.07,4776.95,NaN
2023-12-26T21:00:00+01:00,4777,4777.8,4776.02,4777.51,NaN
2023-12-26T21:05:00+01:00,4777.55,4778.12,4776.38,4776.52,NaN
2023-12-26T21:10:00+01:00,4776.53,4777.73,4776.5,4777.51,NaN
2023-12-26T21:15:00+01:00,4777.52,4777.6,4776.78,4777.46,NaN
2023-12-26T21:20:00+01:00,4777.47,4780.03,4777.42,4780.01,NaN
2023-12-26T21:25:00+01:00,4780.03,4784.72,4780.03,4781.39,NaN
2023-12-26T21:30:00+01:00,4781.46,4783.52,4781.35,4783.11,NaN
2023-12-26T21:35:00+01:00,4783.1,4783.46,4779.39,4779.65,NaN
2023-12-26T21:40:00+01:00,4779.68,4779.7,4778.93,4779.18,NaN
2023-12-26T21:45:00+01:00,4779.19,4780.75,4777.86,4777.86,NaN
2023-12-26T21:50:00+01:00,4776.04,4779.24,4774.17,4774.69,NaN
2023-12-26T21:55:00+01:00,4774.77,4775.7,4772.49,4775.33,NaN
2023-12-26T22:00:00+01:00,4775.36,4775.36,4774.74,4774.74,NaN
2023-12-27T15:30:00+01:00,4774.21,4777.83,4772.33,4776.97,NaN
2023-12-27T15:35:00+01:00,4777.09,4778.42,4776.38,4777.45,NaN
2023-12-27T15:40:00+01:00,4777.44,4778.57,4776.95,4778.41,NaN
2023-12-27T15:45:00+01:00,4778.44,4778.96,4777.48,4778.55,NaN
2023-12-27T15:50:00+01:00,4778.79,4780.25,4778.4,4780.02,NaN
2023-12-27T15:55:00+01:00,4779.99,4780.74,4778.96,4779.15,NaN
2023-12-27T16:00:00+01:00,4778.88,4780.48,4778.31,4779.28,NaN
2023-12-27T16:05:00+01:00,4779.29,4779.35,4777.2,4778.13,NaN
2023-12-27T16:10:00+01:00,4778.14,4778.54,4771.9,4772.33,NaN
2023-12-27T16:15:00+01:00,4772.64,4774.9,4772.59,4773.74,NaN
