,time,open,high,low,close
0,2023-12-29 18:00:00+00:00,4763.38,4771.24,4761.88,4768.56
1,2023-12-29 19:00:00+00:00,4768.69,4774.95,4767.68,4774.04
2,2023-12-29 20:00:00+00:00,4773.97,4776.91,4763.81,4772.42
3,2023-12-29 21:00:00+00:00,4771.95,4771.95,4769.82,4769.82
4,2024-01-02 14:00:00+00:00,4745.2,4745.2,4730.95,4739.31
5,2024-01-02 15:00:00+00:00,4739.39,4744.54,4731.16,4734.74
6,2024-01-02 16:00:00+00:00,4734.73,4750.38,4734.4,4749.38
7,2024-01-02 17:00:00+00:00,4749.48,4754.33,4743.9,4744.39
8,2024-01-02 18:00:00+00:00,4744.39,4747.34,4738.09,4739.29
9,2024-01-02 19:00:00+00:00,4739.35,4740.2,4727.32,4727.32
10,2024-01-02 20:00:00+00:00,4727.24,4744.15,4722.67,4741.85
11,2024-01-02 21:00:00+00:00,4743.15,4743.23,4742.82,4742.82
12,2024-01-03 14:00:00+00:00,4718.89,4722.29,4714.17,4716.32
13,2024-01-03 15:00:00+00:00,4715.02,4726.59,4704.72,4711.45
14,2024-01-03 16:00:00+00:00,4711.43,4716.83,4709.05,4710.61
15,2024-01-03 17:00:00+00:00,4710.62,4721.33,4707.43,4721.26
16,2024-01-03 18:00:00+00:00,4720.96,4725.01,4716.53,4718.24
17,2024-01-03 19:00:00+00:00,4718.47,4729.29,4708.02,4719.97
18,2024-01-03 20:00:00+00:00,4719.97,4720.38,4699.71,4704.35
19,2024-01-03 21:00:00+00:00,4704.59,4704.82,4704.59,4704.82
20,2024-01-04 14:00:00+00:00,4696.3,4709.14,4696.15,4706.15
21,2024-01-04 15:00:00+00:00,4706.27,4719.36,4704.58,4715.81
22,2024-01-04 16:00:00+00:00,4716.05,4726.78,4712.39,4714.09
23,2024-01-04 17:00:00+00:00,4714.13,4715.17,4703.99,4708.61
24,2024-01-04 18:00:00+00:00,4708.61,4711.7,4707.22,4708.32
25,2024-01-04 19:00:00+00:00,4708.3,4710.25,4699.25,4703.91
26,2024-01-04 20:00:00+00:00,4703.94,4707.22,4687.53,4689.25
27,2024-01-04 21:00:00+00:00,4689.21,4689.21,4688.68,4688.69
28,2024-01-05 14:00:00+00:00,4690.83,4703.16,4688.69,4699.57
29,2024-01-05 15:00:00+00:00,4699.53,4721.49,4699.53,4719.12
30,2024-01-05 16:00:00+00:00,4719.12,4721.47,4703.32,4705.26
31,2024-01-05 17:00:00+00:00,4705.31,4705.51,4689.21,4692.98
32,2024-01-05 18:00:00+00:00,4692.96,4703.34,4684.22,4700.73
33,2024-01-05 19:00:00+00:00,4700.74,4706.41,4684.07,4685.11
34,2024-01-05 20:00:00+00:00,4685.12,4699.85,4682.11,4696.65
35,2024-01-05 21:00:00+00:00,4696.81,4697.24,4696.81,4697.23
36,2024-01-08 14:00:00+00:00,4702.67,4714.97,4699.82,4714.97
37,2024-01-08 15:00:00+00:00,4715.28,4724.86,4711.26,4720.89
38,2024-01-08 16:00:00+00:00,4721.07,4726.33,4717.9,4726.18
39,2024-01-08 17:00:00+00:00,4726.26,4733.1,4723.25,4732.11
40,2024-01-08 18:00:00+00:00,4732.16,4737.78,4730.45,4737.72
41,2024-01-08 19:00:00+00:00,4737.68,4756.84,4736.53,4754.62
42,2024-01-08 20:00:00+00:00,4754.63,4764.54,4751.48,4762.95
