Date;open;high;low;close
3-1-22 14:00;4778.14;4795.86;4758.17;4767.42
3-1-22 15:00;4767.28;4785.72;4766.61;4779.85
3-1-22 16:00;4779.86;4780.71;4763.24;4772.29
3-1-22 17:00;4772.11;4779.05;4769.16;4774.74
3-1-22 18:00;4774.73;4786.12;4772.49;4786.05
3-1-22 19:00;4786.03;4795.2;4784.8;4790.72
3-1-22 20:00;4790.62;4796.38;4785.17;4795.94
3-1-22 21:00;4796.5;4796.64;4796.5;4796.56
4-1-22 14:00;4804.51;4818.62;4804.51;4814.86
4-1-22 15:00;4815.57;4815.57;4793.03;4793.65
4-1-22 16:00;4793.6;4797.62;4782.62;4792.81
4-1-22 17:00;4792.87;4797.44;4785.03;4785.95
4-1-22 18:00;4786.15;4790.99;4774.27;4774.99
4-1-22 19:00;4774.96;4793.27;4774.77;4791.83
4-1-22 20:00;4791.79;4807.64;4791.7;4793.39
4-1-22 21:00;4793.55;4793.57;4793.53;4793.54
5-1-22 14:00;4787.99;4793.05;4778.42;4790.45
5-1-22 15:00;4789.85;4797.7;4785.44;4790.23
5-1-22 16:00;4790.59;4791.44;4780.69;4783.01
5-1-22 17:00;4782.92;4789.9;4776.52;4776.91
5-1-22 18:00;4776.79;4778.47;4770.79;4775.87
5-1-22 19:00;4775.78;4786.09;4729.64;4734.69
5-1-22 20:00;4734.47;4734.47;4699.44;4700.49
5-1-22 21:00;4699.9;4700.81;4699.9;4700.58
6-1-22 14:00;4693.39;4720.74;4684.73;4686.29
6-1-22 15:00;4686.48;4713.66;4671.26;4704.38
6-1-22 16:00;4704.55;4716.34;4698.13;4709.17
6-1-22 17:00;4709.4;4725.01;4704.55;4713.34
6-1-22 18:00;4713.42;4716.53;4701.77;4708.22
6-1-22 19:00;4708.2;4713.88;4700.67;4711.49
6-1-22 20:00;4711.43;4718.65;4688.41;4696.25
6-1-22 21:00;4696.12;4696.12;4696.04;4696.05
7-1-22 14:00;4697.66;4707.95;4684.2;4703.29
7-1-22 15:00;4703.13;4703.95;4662.74;4669.35
7-1-22 16:00;4668.83;4697.1;4663;4692.93
7-1-22 17:00;4693.16;4694.05;4681.28;4688.57
7-1-22 18:00;4688.56;4692.28;4682.26;4685.2
7-1-22 19:00;4685.33;4692.98;4677.38;4690.94
7-1-22 20:00;4690.92;4695.72;4675.99;4676.51
7-1-22 21:00;4677.16;4677.16;4677.01;4677.03
10-1-22 14:00;4655.34;4655.34;4605.97;4609.14
10-1-22 15:00;4609.23;4610.61;4582.24;4593.18
10-1-22 16:00;4593.46;4617.75;4586.91;4610.62
10-1-22 17:00;4610.61;4616.78;4595.67;4608.8
10-1-22 18:00;4608.68;4637.75;4607.43;4635.08
10-1-22 19:00;4635.3;4654.49;4633.62;4645.97
10-1-22 20:00;4645.98;4673.02;4632.93;4669.85
10-1-22 21:00;4670.37;4670.43;4670.26;4670.29
11-1-22 14:00;4669.14;4670.86;4638.27;4644.27
11-1-22 15:00;4644.56;4664.94;4640.46;4650.54
11-1-22 16:00;4650.47;4696.72;4650.18;4692.05
11-1-22 17:00;4692.13;4695.84;4683.21;4693.99
11-1-22 18:00;4694.04;4701.87;4686.71;4701.13
11-1-22 19:00;4701.1;4709.72;4694.14;4705.36
11-1-22 20:00;4705.33;4714.13;4702.29;4712.87
11-1-22 21:00;4713.54;4713.54;4713.03;4713.07
12-1-22 14:00;4728.59;4743.22;4725.54;4742.96
12-1-22 15:00;4743.09;4748.83;4717.66;4723.3
12-1-22 16:00;4723.44;4731.05;4706.71;4725.86
12-1-22 17:00;4725.95;4734.54;4719.29;4733.54
12-1-22 18:00;4733.59;4733.88;4718.9;4720.1
12-1-22 19:00;4720.11;4727.68;4714.81;4725.7
12-1-22 20:00;4725.81;4732.43;4718.32;4726.55
12-1-22 21:00;4726.97;4726.97;4726.35;4726.35
13-1-22 14:00;4733.56;4744.13;4733.56;4739.25
13-1-22 15:00;4739.31;4741.11;4708.16;4715.29
13-1-22 16:00;4715.22;4728.91;4710.68;4724.7
13-1-22 17:00;4724.71;4724.71;4685.18;4691.95
13-1-22 18:00;4691.72;4703.59;4686.07;4702.02
13-1-22 19:00;4701.94;4707.24;4683.39;4689.15
13-1-22 20:00;4689.18;4689.18;4650.29;4660.21
13-1-22 21:00;4660.07;4660.07;4659.02;4659.03
14-1-22 14:00;4637.99;4660.48;4623.12;4659.03
14-1-22 15:00;4659.33;4663.29;4634.65;4641.15
14-1-22 16:00;4641.11;4648.83;4622.81;4645.27
14-1-22 17:00;4645.22;4647.45;4621.34;4622.09
14-1-22 18:00;4621.96;4636.3;4614.75;4635.16
14-1-22 19:00;4635.09;4645.84;4630.69;4638.83
14-1-22 20:00;4638.54;4665.13;4638.54;4661.92
14-1-22 21:00;4662.66;4662.85;4662.66;4662.85
18-1-22 14:00;4632.24;4632.24;4587.82;4597.8
18-1-22 15:00;4597.33;4610.98;4588.44;4590.97
18-1-22 16:00;4590.87;4601.71;4581.5;4596.08
18-1-22 17:00;4596.07;4597.73;4572.84;4573.21
18-1-22 18:00;4573.2;4587.82;4569.82;4586.52
18-1-22 19:00;4586.6;4603.64;4582.94;4599.74
18-1-22 20:00;4599.7;4601.55;4568.7;4578.88
18-1-22 21:00;4578.09;4578.09;4577.11;4577.11
19-1-22 14:00;4588.03;4611.55;4588.03;4609.64
19-1-22 15:00;4610.97;4610.97;4570.3;4577.92
19-1-22 16:00;4577.91;4583.17;4562.1;4582.24
19-1-22 17:00;4582.17;4597.37;4582.11;4595.76
19-1-22 18:00;4595.92;4596.19;4576.76;4579.79
19-1-22 19:00;4579.76;4581.53;4558.39;4569.28
19-1-22 20:00;4569.29;4576.08;4530.2;4533.11
19-1-22 21:00;4532.86;4533.01;4532.76;4532.76
20-1-22 14:00;4547.35;4584.04;4547.35;4581.7
20-1-22 15:00;4581.75;4598.5;4570.84;4595.91
20-1-22 16:00;4595.89;4602.11;4584.96;4590.38
20-1-22 17:00;4590.31;4592.9;4580.96;4582.55
20-1-22 18:00;4582.58;4582.58;4567.36;4567.91
20-1-22 19:00;4567.93;4579.96;4545.78;4547.85
20-1-22 20:00;4547.75;4552.62;4477.95;4482.27
20-1-22 21:00;4482.29;4482.73;4482.27;4482.73
21-1-22 14:00;4471.38;4479.59;4445.78;4450.74
21-1-22 15:00;4450.2;4485.38;4420.39;4475.08
21-1-22 16:00;4475.21;4494.52;4450.77;4459.38
21-1-22 17:00;4459.46;4463.99;4436.19;4442.85
21-1-22 18:00;4442.91;4455.44;4430.22;4436.24
21-1-22 19:00;4436.21;4446.59;4413.28;4413.38
21-1-22 20:00;4413.71;4426.05;4395.34;4397.87
21-1-22 21:00;4396.59;4397.94;4396.59;4397.94
24-1-22 14:00;4356.32;4356.32;4299.04;4304.2
24-1-22 15:00;4303.12;4321.95;4271.79;4300.61
24-1-22 16:00;4301.31;4301.31;4243.5;4270.14
24-1-22 17:00;4270.19;4276.31;4222.62;4267.86
24-1-22 18:00;4267.71;4327.41;4262.32;4327.23
24-1-22 19:00;4327.27;4344.01;4275.92;4319.13
24-1-22 20:00;4317.95;4417.35;4314.75;4411.87
24-1-22 21:00;4413.22;4413.22;4410.12;4410.13
25-1-22 14:00;4366.64;4366.64;4299.53;4304.51
25-1-22 15:00;4305.92;4353.12;4287.11;4325.32
25-1-22 16:00;4325.42;4342.81;4307.06;4312.29
25-1-22 17:00;4312.27;4341.77;4309.94;4328.46
25-1-22 18:00;4328.41;4377.48;4317.26;4377.48
25-1-22 19:00;4377.47;4411.01;4364.49;4409.71
25-1-22 20:00;4410.04;4410.22;4349.22;4358.03
25-1-22 21:00;4356.68;4356.69;4356.41;4356.45
26-1-22 14:00;4408.43;4436.93;4403.02;4432.41
26-1-22 15:00;4433.22;4444.83;4390.11;4405.3
26-1-22 16:00;4405.21;4427.64;4397.87;4421.04
26-1-22 17:00;4421.86;4435.37;4420.4;4433.85
26-1-22 18:00;4433.93;4434.21;4415.75;4422
26-1-22 19:00;4422.04;4453.23;4359.35;4377.4
26-1-22 20:00;4377.26;4377.26;4304.8;4347.26
26-1-22 21:00;4349.8;4349.93;4349.36;4349.93
27-1-22 14:00;4380.58;4426.31;4380.58;4416.33
27-1-22 15:00;4416.25;4428.74;4374.26;4406.29
27-1-22 16:00;4406.18;4416.95;4385.88;4403.38
