Data,Open, High,Low,Close,Volume
2025-01-08 06:00:00,5920.6,5923.7,5918.1,5919.4,515
2025-01-08 07:00:00,5919.7,5927.1,5919.7,5926.8,622
2025-01-08 08:00:00,5926.6,5927.3,5918.7,5919.2,591
2025-01-08 09:00:00,5919.5,5919.5,5912.1,5918.2,1300
2025-01-08 10:00:00,5917.9,5924.6,5916.1,5921.9,2048
2025-01-08 11:00:00,5921.6,5926.2,5920.6,5926.0,1459
2025-01-08 12:00:00,5926.1,5929.8,5925.2,5929.3,901
2025-01-08 13:00:00,5929.5,5929.5,5890.9,5909.4,4233
2025-01-08 14:00:00,5909.1,5909.6,5881.4,5887.6,5220
2025-01-08 15:00:00,5887.1,5916.4,5887.1,5914.1,5670
2025-01-08 16:00:00,5913.9,5916.4,5886.5,5894.7,6583
2025-01-08 17:00:00,5894.5,5909.2,5881.7,5906.0,7725
2025-01-08 18:00:00,5905.7,5921.2,5893.7,5916.0,4871
2025-01-08 19:00:00,5916.2,5916.5,5873.0,5890.5,5214
2025-01-08 20:00:00,5889.7,5917.5,5889.7,5899.8,5080
2025-01-08 21:00:00,5900.3,5927.6,5893.0,5907.0,5976
2025-01-08 22:00:00,5907.5,5919.0,5900.5,5914.2,4412
2025-01-08 23:00:00,5915.0,5920.9,5906.6,5911.2,1066
2025-01-09 01:00:00,5909.4,5913.3,5905.5,5906.0,667
2025-01-09 02:00:00,5906.2,5907.7,5896.7,5903.5,1168
2025-01-09 03:00:00,5903.3,5905.5,5901.0,5901.5,1051
2025-01-09 04:00:00,5901.4,5908.6,5901.3,5908.0,761
2025-01-09 05:00:00,5907.8,5908.4,5901.3,5901.3,647
2025-01-09 06:00:00,5901.5,5903.0,5897.0,5900.9,638
2025-01-09 07:00:00,5900.6,5905.9,5898.8,5905.6,600
2025-01-09 08:00:00,5905.4,5906.4,5902.8,5904.6,726
2025-01-09 09:00:00,5904.3,5904.5,5889.9,5891.2,1416
2025-01-09 10:00:00,5890.7,5908.2,5885.4,5905.9,2752
2025-01-09 11:00:00,5906.1,5910.2,5902.9,5908.7,1836
2025-01-09 12:00:00,5909.2,5913.3,5907.7,5909.8,1067
2025-01-09 13:00:00,5909.5,5909.5,5899.4,5903.3,1728
2025-01-09 14:00:00,5903.4,5907.7,5899.3,5906.7,1589
2025-01-09 15:00:00,5906.4,5910.7,5900.4,5902.6,1435
2025-01-09 16:00:00,5902.4,5902.4,5892.4,5900.4,1249
2025-01-10 01:00:00,5898.8,5901.1,5882.6,5886.6,2004
2025-01-10 02:00:00,5886.8,5888.5,5876.6,5878.7,1837
2025-01-10 03:00:00,5879.3,5892.1,5878.7,5891.4,1550
2025-01-10 04:00:00,5891.6,5897.2,5889.6,5896.3,958
2025-01-10 05:00:00,5896.6,5902.7,5896.1,5900.2,724
2025-01-10 06:00:00,5900.5,5903.1,5897.2,5902.4,740
2025-01-10 07:00:00,5902.6,5906.9,5901.6,5904.2,902
2025-01-10 08:00:00,5904.0,5904.0,5895.6,5896.7,1039
2025-01-10 09:00:00,5896.6,5905.2,5893.9,5900.7,1619
2025-01-10 10:00:00,5900.0,5909.2,5898.5,5903.1,2486
2025-01-10 11:00:00,5903.0,5904.2,5893.0,5898.0,1995
2025-01-10 12:00:00,5898.2,5907.4,5895.5,5905.5,1287
2025-01-10 13:00:00,5905.2,5917.5,5905.0,5907.0,1596
2025-01-10 14:00:00,5907.2,5910.2,5895.4,5909.6,2331
2025-01-10 15:00:00,5909.5,5910.2,5847.0,5862.0,6362
2025-01-10 16:00:00,5861.6,5880.3,5843.3,5849.7,7847
2025-01-10 17:00:00,5843.3,5851.8,5811.1,5830.6,8082
2025-01-10 18:00:00,5830.3,5833.1,5807.1,5810.1,6324
